,id,fisherman_id,fishing_location,history,status,delivered,rejected,Avg Temp,delivered_location
0,5656195,B2732,Ashkara,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Ashkara', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Ibra', 'time': '2024-04-29 10:05:48.327247'}, {'id': 3, 'avg_temp': -7.3, 'stage': 'On Route', 'location': 'Nesto', 'time': '2024-04-29 14:05:48.327247'}]",On Route,,,-7.3,Nesto
1,2394288,B2732,Ashkara,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Ashkara', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Ibra', 'time': '2024-04-29 10:05:48.327247'}]",Central Market,,,-5.3,
2,9382531,B2732,Ashkara,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Ashkara', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Ibra', 'time': '2024-04-29 10:05:48.327247'}, {'id': 3, 'avg_temp': -7.3, 'stage': 'On Route', 'location': 'Nesto', 'time': '2024-04-29 14:05:48.327247'}, {'id': 4, 'avg_temp': -4, 'stage': 'Delivered', 'location': 'Nesto', 'time': '2024-04-29 14:05:48.327247'}]",Delivered,yes,,-4.0,Nesto
3,4015364,B2732,Ashkara,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Ashkara', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Ibra', 'time': '2024-04-29 10:05:48.327247'}, {'id': 3, 'avg_temp': -7.3, 'stage': 'On Route', 'location': 'Nesto', 'time': '2024-04-29 14:05:48.327247'}, {'id': 4, 'avg_temp': -4, 'stage': 'Delivered', 'location': 'Nesto', 'time': '2024-04-29 14:05:48.327247'}]",Delivered,yes,,-4.0,Nesto
4,5538197,B2732,Ashkara,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Ashkara', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Ibra', 'time': '2024-04-29 10:05:48.327247'}, {'id': 3, 'avg_temp': -7.3, 'stage': 'Rejected', 'location': 'Ibra', 'time': '2024-04-29 14:05:48.327247'}]",Rejected,,yes,-7.3,
5,4029584,B4832,Masira,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Masira', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Sur', 'time': '2024-04-29 10:05:48.327247'}, {'id': 3, 'avg_temp': -7.3, 'stage': 'On Route', 'location': 'Lulu', 'time': '2024-04-29 14:05:48.327247'}]",On Route,,,-7.3,Lulu
6,1860479,B4832,Masira,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Masira', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Sur', 'time': '2024-04-29 10:05:48.327247'}]",Central Market,,,-5.3,
7,4055170,B4832,Masira,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Masira', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Sur', 'time': '2024-04-29 10:05:48.327247'}, {'id': 3, 'avg_temp': -7.3, 'stage': 'On Route', 'location': 'Lulu', 'time': '2024-04-29 14:05:48.327247'}, {'id': 4, 'avg_temp': -4, 'stage': 'Delivered', 'location': 'Lulu', 'time': '2024-04-29 14:05:48.327247'}]",Delivered,yes,,-4.0,Lulu
8,4049503,B4832,Masira,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Masira', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Sur', 'time': '2024-04-29 10:05:48.327247'}, {'id': 3, 'avg_temp': -7.3, 'stage': 'On Route', 'location': 'Lulu', 'time': '2024-04-29 14:05:48.327247'}, {'id': 4, 'avg_temp': -4, 'stage': 'Delivered', 'location': 'Lulu', 'time': '2024-04-29 14:05:48.327247'}]",Delivered,yes,,-4.0,Lulu
9,9737930,B4832,Masira,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Masira', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Sur', 'time': '2024-04-29 10:05:48.327247'}, {'id': 3, 'avg_temp': -7.3, 'stage': 'Rejected', 'location': 'Sur', 'time': '2024-04-29 14:05:48.327247'}]",Rejected,,yes,-7.3,
10,8666885,B4832,Masira,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Masira', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Sur', 'time': '2024-04-29 10:05:48.327247'}, {'id': 3, 'avg_temp': -7.3, 'stage': 'On Route', 'location': 'Lulu', 'time': '2024-04-29 14:05:48.327247'}]",On Route,,,-7.3,Lulu
11,3596805,B4832,Masira,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Masira', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Sur', 'time': '2024-04-29 10:05:48.327247'}]",Central Market,,,-5.3,
12,5689457,B4832,Masira,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Masira', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Sur', 'time': '2024-04-29 10:05:48.327247'}, {'id': 3, 'avg_temp': -4, 'stage': 'Rejected', 'location': 'Lulu', 'time': '2024-04-29 14:05:48.327247'}]",Rejected,,yes,-4.0,
13,7560152,B4832,Masira,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Masira', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Sur', 'time': '2024-04-29 10:05:48.327247'}, {'id': 3, 'avg_temp': -7.3, 'stage': 'On Route', 'location': 'Lulu', 'time': '2024-04-29 14:05:48.327247'}]",On Route,,,-7.3,Lulu
14,6025310,B4832,Masira,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Masira', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Sur', 'time': '2024-04-29 10:05:48.327247'}, {'id': 3, 'avg_temp': -7.3, 'stage': 'Rejected', 'location': 'Sur', 'time': '2024-04-29 14:05:48.327247'}]",Rejected,,yes,-7.3,
15,3809671,B4832,Masira,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Masira', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Sur', 'time': '2024-04-29 10:05:48.327247'}, {'id': 3, 'avg_temp': -7.3, 'stage': 'On Route', 'location': 'Faiha', 'time': '2024-04-29 14:05:48.327247'}]",On Route,,,-7.3,Faiha
16,5762209,B4832,Masira,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Masira', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Sur', 'time': '2024-04-29 10:05:48.327247'}]",Central Market,,,-5.3,
17,5399614,B4832,Masira,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Masira', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Sur', 'time': '2024-04-29 10:05:48.327247'}, {'id': 3, 'avg_temp': -4, 'stage': 'Rejected', 'location': 'Lulu Sur', 'time': '2024-04-29 14:05:48.327247'}]",Rejected,,yes,-4.0,
18,2014001,B4832,Masira,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Masira', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Sur', 'time': '2024-04-29 10:05:48.327247'}, {'id': 3, 'avg_temp': -7.3, 'stage': 'On Route', 'location': 'Faiha', 'time': '2024-04-29 14:05:48.327247'}]",On Route,,,-7.3,Faiha
19,8856543,B4832,Masira,"[{'id': 1, 'avg_temp': 19.3, 'stage': 'fish truck delivery', 'location': 'Masira', 'time': '2024-04-28 22:05:48.327247'}, {'id': 2, 'avg_temp': -5.3, 'stage': 'Central Market', 'location': 'Sur', 'time': '2024-04-29 10:05:48.327247'}, {'id': 3, 'avg_temp': -7.3, 'stage': 'On Route', 'location': 'Faiha', 'time': '2024-04-29 14:05:48.327247'}, {'id': 3, 'avg_temp': -7.3, 'stage': 'Delivered', 'location': 'Faiha', 'time': '2024-04-29 14:05:48.327247'}]",Delivered,yes,,-7.3,Faiha
