,id,fisherman_id,fishing_location,status,Avg Temp,delivered_location,delivered,rejected
0,7816635,B23823,Suhar,Central Market,-8.84,Lulu,,
0,7560000,B384211,Duqum,Delivered,-8.53,Lulu,yes,
0,5992865,B123123,Suhar,Delivered,-7.87,Lulu,yes,
0,1566567,B8323,Duqum,Central Market,-5.87,Nesto,,
0,2694929,B23823,Suhar,Central Market,-3.34,Lulu,,
0,4546839,B23823,Suhar,Central Market,-5.49,Lulu,,
0,4048050,B384211,Ashkara,Central Market,-8.17,Lulu,,
0,8617097,B8323,Salalah,Central Market,-8.86,Nesto,,
0,3250212,B23823,Suhar,Central Market,-6.75,Nesto,,
0,8112871,B123123,Suhar,Delivered,-2.12,Nesto,yes,
0,7205123,B8323,Ashkara,Delivered,-1.34,Lulu,yes,
0,7421201,B12312,Ashkara,Central Market,-3.47,Faiha,,
0,2631369,B123123,Suhar,Central Market,-6.35,Lulu,,
0,4861918,B23823,Suhar,Delivered,-8.15,Lulu,yes,
0,1742303,B8323,Duqum,Delivered,-6.82,Nesto,yes,
0,4079823,B12312,Salalah,Delivered,-7.0,Lulu,yes,
0,8617004,B123123,Salalah,Central Market,-1.47,Lulu,,
0,3608415,B23823,Ashkara,Central Market,-1.24,Lulu,,
0,8163896,B123123,Duqum,Central Market,-6.87,Lulu,,
0,7473556,B8323,Suhar,Central Market,-4.69,Faiha,,
0,2386972,B123123,Duqum,Central Market,-3.4,Lulu,,
0,6183331,B23823,Duqum,Delivered,-2.2,Lulu,yes,
0,5442577,B23823,Salalah,Delivered,-5.3,Lulu,yes,
0,9219576,B123123,Suhar,Central Market,-3.46,Lulu,,
0,7930033,B23823,Sur,Central Market,-0.95,Lulu,,
0,4219484,B123123,Salalah,Delivered,-8.17,Nesto,yes,
0,6277492,B8323,Ashkara,Rejected,-9.32,Lulu,,yes
0,5317546,B8323,Salalah,Delivered,-7.82,Faiha,yes,
0,4127599,B8323,Suhar,Delivered,-7.66,Lulu,yes,
0,6714438,B123123,Suhar,Delivered,-5.02,Lulu,yes,
0,6529911,B123123,Suhar,Delivered,-3.44,Nesto,yes,
0,8551482,B23823,Salalah,Central Market,-7.31,Lulu,,
0,3520626,B23823,Ashkara,Delivered,-5.61,Lulu,yes,
0,6301174,B8323,Masira,Delivered,-2.08,Lulu,yes,
0,5959227,B23823,Suhar,On Route,-8.13,Nesto,,
0,1879838,B123123,Salalah,Delivered,-8.57,Nesto,yes,
0,1338698,B8323,Suhar,Delivered,-9.76,Nesto,yes,
0,5488232,B12312,Duqum,Delivered,-7.82,Lulu,yes,
0,6175288,B328423,Duqum,Central Market,-8.25,Nesto,,
0,3714535,B8323,Ashkara,Central Market,-1.22,Lulu,,
0,9633907,B8323,Duqum,Delivered,-5.16,Lulu,yes,
0,7544440,B23823,Suhar,Delivered,-5.19,Faiha,yes,
0,7770973,B123123,Salalah,Central Market,-6.69,Lulu,,
0,7787905,B23823,Ashkara,Delivered,-1.48,Nesto,yes,
0,8291238,B384211,Muscat,Central Market,-9.71,Nesto,,
0,6105618,B23823,Salalah,Central Market,-3.24,Lulu,,
0,4307801,B8323,Duqum,Central Market,-6.21,Lulu,,
0,1127937,B12312,Ashkara,Central Market,-0.18,Lulu,,
0,1939467,B328423,Masira,Central Market,-1.12,Lulu,,
0,9269419,B23823,Salalah,Delivered,-2.41,Lulu,yes,
0,2306950,B23823,Ashkara,Central Market,-4.7,Nesto,,
0,1456841,B23823,Duqum,Delivered,-2.85,Lulu,yes,
0,3748306,B123123,Ashkara,Delivered,-4.58,Lulu,yes,
0,4667489,B123123,Suhar,On Route,-7.79,Lulu,,
0,3856869,B328423,Duqum,Central Market,-0.34,Lulu,,
0,2758790,B328423,Suhar,Central Market,-1.18,Lulu,,
0,1594364,B8323,Ashkara,Delivered,-1.36,Lulu,yes,
0,4332762,B23823,Duqum,Delivered,-6.13,Nesto,yes,
0,3564534,B123123,Duqum,Delivered,-7.9,Lulu,yes,
0,8475753,B23823,Suhar,Delivered,-5.96,Nesto,yes,
0,2897196,B23823,Suhar,Central Market,-4.28,Lulu,,
0,3434660,B23823,Suhar,Delivered,-3.56,Nesto,yes,
0,8701687,B12312,Salalah,On Route,-9.75,Nesto,,
0,8327603,B8323,Duqum,Delivered,-5.73,Lulu,yes,
0,5778429,B123123,Suhar,Delivered,-2.18,Lulu,yes,
0,4923962,B23823,Masira,Central Market,-0.62,Lulu,,
0,1719701,B123123,Suhar,Central Market,-9.68,Lulu,,
0,4571949,B123123,Duqum,Delivered,-4.12,Lulu,yes,
0,4187896,B123123,Salalah,Central Market,-3.71,Lulu,,
0,2152072,B12312,Suhar,Central Market,-6.01,Nesto,,
0,7558720,B23823,Ashkara,Central Market,-1.34,Nesto,,
0,7667977,B328423,Suhar,Delivered,-2.29,Lulu,yes,
0,5580817,B23823,Duqum,Delivered,-8.52,Lulu,yes,
0,1300493,B8323,Duqum,Delivered,-8.37,Nesto,yes,
0,5688557,B23823,Suhar,Central Market,-8.26,Lulu,,
0,4156320,B23823,Ashkara,Central Market,-1.91,Lulu,,
0,3095906,B8323,Ashkara,Delivered,-3.0,Lulu,yes,
0,3381522,B123123,Duqum,Central Market,-8.16,Lulu,,
0,7636790,B3823,Ashkara,Delivered,-4.42,Nesto,yes,
0,9127661,B8323,Suhar,Central Market,-5.42,Nesto,,
0,8227019,B23823,Salalah,Central Market,-7.84,Lulu,,
0,7962199,B23823,Suhar,Central Market,-0.28,Lulu,,
0,3038507,B3823,Salalah,Delivered,-7.63,Lulu,yes,
0,8197798,B8323,Ashkara,Delivered,-3.02,Lulu,yes,
0,9024462,B123123,Salalah,Central Market,-6.26,Lulu,,
0,7182368,B12312,Salalah,Delivered,-1.47,Nesto,yes,
0,2247038,B8323,Suhar,Delivered,-7.81,Lulu,yes,
0,9485389,B328423,Suhar,Central Market,-2.67,Lulu,,
0,5141148,B8323,Ashkara,Delivered,-3.61,Nesto,yes,
0,2226442,B8323,Suhar,Delivered,-9.09,Nesto,yes,
0,5513772,B8323,Salalah,Central Market,-9.98,Lulu,,
0,8716369,B23823,Suhar,Delivered,-9.6,Nesto,yes,
0,7408867,B3823,Duqum,Delivered,-2.77,Lulu,yes,
0,5527062,B8323,Duqum,Delivered,-0.07,Lulu,yes,
0,8336889,B123123,Suhar,Delivered,-2.04,Lulu,yes,
0,1573075,B23823,Duqum,Delivered,-9.87,Nesto,yes,
0,5441856,B123123,Muscat,Central Market,-9.74,Nesto,,
0,7859777,B23823,Suhar,Delivered,-5.03,Nesto,yes,
0,7398126,B8323,Suhar,Central Market,-1.97,Lulu,,
0,8152457,B8323,Suhar,Central Market,-8.57,Lulu,,
0,4134015,B328423,Salalah,Delivered,-1.43,Lulu,yes,
0,5692156,B8323,Duqum,Delivered,-9.03,Nesto,yes,
0,5265409,B123123,Ashkara,Delivered,-4.33,Nesto,yes,
0,1160785,B123123,Ashkara,On Route,-9.01,Faiha,,
0,5708502,B8323,Ashkara,Delivered,-2.83,Lulu,yes,
0,8980843,B123123,Duqum,Central Market,-2.9,Nesto,,
0,8087656,B8323,Sur,Delivered,-2.49,Lulu,yes,
0,1604811,B8323,Suhar,Delivered,-5.28,Nesto,yes,
0,5131785,B328423,Suhar,Delivered,-6.03,Faiha,yes,
0,3457570,B23823,Salalah,Delivered,-0.02,Nesto,yes,
0,1056268,B12312,Suhar,Delivered,-3.26,Lulu,yes,
0,9593646,B8323,Ashkara,Delivered,-5.19,Nesto,yes,
0,2645407,B328423,Salalah,Central Market,-6.81,Nesto,,
0,7542170,B123123,Ashkara,Central Market,-8.64,Lulu,,
0,7967647,B12312,Ashkara,Delivered,-3.44,Faiha,yes,
0,5011751,B123123,Ashkara,Delivered,-4.98,Lulu,yes,
0,5338823,B8323,Ashkara,First Truck,-9.63,Lulu,,
0,9281769,B23823,Duqum,Delivered,-4.27,Lulu,yes,
0,9313937,B123123,Suhar,Central Market,-1.7,Lulu,,
0,6614167,B12312,Duqum,Central Market,-8.35,Lulu,,
0,9524902,B384211,Suhar,Delivered,-3.91,Lulu,yes,
0,8598639,B123123,Ashkara,Central Market,-5.54,Lulu,,
0,1202729,B23823,Suhar,Central Market,-2.04,Nesto,,
0,2467450,B23823,Ashkara,Central Market,-0.22,Nesto,,
0,5580210,B123123,Duqum,Central Market,-0.25,Lulu,,
0,5520606,B23823,Duqum,Delivered,-4.81,Faiha,yes,
0,4438844,B123123,Salalah,Delivered,-7.07,Lulu,yes,
0,7423020,B123123,Ashkara,Central Market,-1.63,Lulu,,
0,6147842,B123123,Ashkara,Central Market,-0.85,Nesto,,
0,3444277,B123123,Suhar,Delivered,-8.75,Lulu,yes,
0,4370412,B8323,Salalah,Delivered,-8.62,Lulu,yes,
0,9833431,B23823,Suhar,Delivered,-1.75,Nesto,yes,
0,6355781,B123123,Suhar,Delivered,-6.71,Lulu,yes,
0,7849108,B8323,Ashkara,Central Market,-9.62,Lulu,,
0,7598980,B23823,Masira,Central Market,-9.07,Lulu,,
0,8143323,B123123,Muscat,Central Market,-4.71,Lulu,,
0,5215625,B23823,Suhar,Rejected,-6.6,Nesto,,yes
